ID,STATUS
5001711,1
5001712,1
5001713,0
5001714,0
5001715,0
5001717,1
5001718,1
5001719,0
5001720,1
5001723,0
5001724,0
5001725,1
5001726,0
5001728,1
5001729,1
5001730,0
5001731,0
5001732,0
5001733,0
5001734,1
5001735,0
5001736,0
5001737,1
5001738,0
5001739,0
5001742,0
5001743,0
5001744,0
5001745,1
5001746,1
5001747,1
5001748,0
5001754,0
5001755,0
5001756,0
5001757,1
5001758,1
5001759,1
5001760,0
5001765,0
5001766,0
5001767,0
5001768,1
5001769,1
5001770,1
5001771,1
5001772,1
5001773,1
5001774,0
5001775,0
5001778,0
5001779,0
5001780,0
5001782,1
5001783,1
5001784,1
5001785,0
5001786,0
5001787,0
5001788,0
5001789,0
5001790,1
5001791,1
5001792,1
5001793,1
5001794,0
5001795,0
5001796,0
5001798,0
5001800,1
5001803,0
5001804,1
5001805,0
5001806,0
5001807,0
5001808,0
5001812,1
5001813,0
5001816,1
5001817,1
5001818,0
5001819,0
5001820,0
5001821,0
5001823,1
5001824,1
5001825,1
5001827,0
5001828,1
5001829,1
5001830,0
5001831,1
5001832,0
5001833,0
5001836,1
5001837,0
5001838,1
5001839,1
5001840,1
5001841,0
5001842,1
5001843,0
5001844,1
5001846,1
5001847,1
5001848,1
5001849,1
5001850,1
5001851,0
5001852,0
5001853,0
5001854,0
5001855,0
5001856,0
5001857,1
5001858,0
5001859,0
5001860,0
5001861,0
5001862,0
5001863,0
5001864,0
5001867,0
5001870,0
5001871,0
5001872,1
5001873,1
5001874,1
5001875,0
5001876,1
5001877,1
5001879,0
5001882,0
5001883,0
5001886,1
5001887,1
5001888,1
5001889,1
5001890,0
5001891,0
5001892,0
5001893,0
5001894,0
5001895,0
5001896,0
5001897,1
5001898,1
5001899,0
5001900,0
5001901,0
5001902,1
5001904,0
5001905,0
5001906,0
5001907,1
5001908,1
5001909,1
5001910,0
5001911,0
5001912,0
5001913,0
5001914,0
5001915,0
5001916,0
5001917,0
5001918,1
5001919,0
5001920,1
5001921,1
5001922,0
5001923,0
5001924,0
5001925,0
5001926,1
5001927,0
5001931,0
5001932,1
5001933,0
5001936,1
5001940,1
5001941,1
5001942,0
5001943,0
5001944,1
5001945,1
5001946,1
5001947,0
5001948,1
5001949,0
5001950,0
5001951,1
5001952,0
5001953,0
5001954,0
5001956,1
5001957,1
5001958,0
5001959,0
5001960,0
5001961,1
5001962,0
5001963,0
5001964,1
5001965,0
5001966,0
5001967,0
5001968,1
5001970,1
5001976,0
5001982,0
5001983,1
5001986,0
5001987,0
5001988,1
5001989,1
5001990,0
5001991,0
5001993,0
5001994,0
5001995,0
5001996,0
5001997,0
5001998,0
5001999,0
5002000,1
5002001,0
5002002,1
5002003,0
5002004,0
5002005,0
5002006,0
5002007,0
5002008,1
5002009,0
5002010,1
5002011,1
5002012,0
5002013,0
5002015,1
5002016,0
5002018,0
5002019,0
5002020,0
5002021,0
5002022,0
5002023,1
5002024,0
5002025,0
5002026,0
5002028,0
5002029,1
5002030,1
5002031,0
5002032,0
5002033,0
5002034,0
5002035,0
5002037,0
5002038,1
5002039,1
5002041,0
5002042,1
5002043,1
5002044,1
5002046,0
5002047,0
5002048,0
5002049,0
5002050,1
5002052,0
5002053,0
5002054,0
5002055,0
5002057,0
5002058,0
5002059,0
5002060,0
5002061,1
5002062,1
5002068,0
5002069,0
5002070,1
5002071,1
5002072,0
5002073,0
5002076,0
5002077,0
5002078,1
5002079,1
5002080,1
5002081,1
5002082,1
5002083,0
5002084,1
5002085,1
5002087,0
5002088,0
5002091,0
5002094,0
5002096,0
5002097,0
5002098,1
5002101,0
5002104,0
5002105,0
5002106,0
5002107,1
5002108,0
5002109,0
5002110,1
5002111,1
5002112,0
5002113,0
5002114,0
5002115,0
5002116,0
5002118,1
5002120,0
5002121,1
5002123,1
5002124,1
5002126,0
5002128,0
5002130,0
5002131,1
5002134,1
5002135,0
5002138,0
5002140,0
5002141,0
5002142,1
5002144,0
5002145,1
5002146,0
5002147,0
5002148,1
5002149,1
5002150,0
5002151,0
5002152,0
5002153,0
5002154,1
5002155,0
5002156,0
5002157,1
5002158,0
5002160,1
5002161,0
5002162,0
5002163,0
5002164,0
5002165,1
5002168,0
5002169,1
5002170,1
5002171,0
5002175,0
5002176,0
5002177,0
5002178,0
5002179,0
5002181,0
5002182,1
5002183,1
5002186,1
5002189,0
5002190,1
5002191,0
5002192,0
5002194,1
5002196,0
5002197,1
5002198,0
5002199,0
5002200,0
5002201,0
5002202,0
5002203,1
5002204,1
5002205,0
5002206,1
5002207,0
5002208,0
5002209,1
5002216,1
5002217,1
5002218,1
5002219,1
5002220,1
5002221,0
